Object_Id  Timestamp Type Lat Lng 
47 6 point 47.6333383 -122.1793675
48 6 point 47.5492106 -122.2625276
49 6 point 47.6119488 -122.134571
0 7 point 47.5727981 -122.205631
1 7 point 47.5946107 -122.3250797
2 7 point 47.4302216 -122.2766487
6 7 point 47.6474267 -122.3791222
7 7 point 47.6171155 -122.1483289
10 7 point 47.5351723 -122.3884753
11 7 point 47.5609169 -122.0251265
12 7 point 47.6289656 -122.1394889
13 7 disappearpoint 47.5877616 -122.0823849
14 7 point 47.4406589 -122.1245879
15 7 point 47.5841281 -122.3545894
17 7 point 47.462931 -122.2835423
18 7 point 47.5751408 -122.138152
19 7 point 47.489326 -122.151697
20 7 point 47.6928074 -122.0929048
21 7 point 47.5605396 -122.3801207
22 7 point 47.6416353 -122.1144444
23 7 point 47.4925444 -122.0485653
24 7 point 47.4796666 -122.125186
25 7 point 47.5686112 -122.2883902
26 7 point 47.6603178 -122.3921298
27 7 point 47.5422117 -122.3927184
28 7 point 47.610193 -121.9818483
29 7 point 47.6006579 -122.2897951
30 7 point 47.4285969 -122.2441588
31 7 point 47.6093906 -122.1745108
32 7 point 47.48309 -122.2709841
35 7 point 47.3970205 -122.3287536
36 7 point 47.5474022 -122.0976158
38 7 point 47.4468108 -122.1616128
40 7 point 47.5623741 -122.1493346
41 7 point 47.5921533 -122.2397313
42 7 point 47.4172642 -122.3297355
44 7 point 47.6591825 -122.338651
46 7 disappearpoint 47.5869265 -121.982112
47 7 point 47.6336225 -122.1794069
48 7 point 47.5493039 -122.261612
49 7 point 47.6121934 -122.1348411
0 8 point 47.572636 -122.2057512
1 8 point 47.5943502 -122.3251871
2 8 point 47.4297663 -122.2765793
6 8 point 47.6474011 -122.3791483
7 8 point 47.6170865 -122.1460887
10 8 point 47.5352361 -122.3884839
11 8 point 47.5612798 -122.0250784
12 8 point 47.6289525 -122.1395123
14 8 point 47.4406473 -122.1252231
15 8 point 47.5842379 -122.3542765
17 8 point 47.4630021 -122.2833398
18 8 point 47.5749708 -122.1384639
19 8 point 47.489294 -122.151667
20 8 point 47.6927918 -122.0930902
21 8 point 47.5606207 -122.3800692
22 8 point 47.6412702 -122.1144766
23 8 point 47.4920554 -122.0488769
24 8 point 47.4796723 -122.1251072
25 8 point 47.5687676 -122.2883902
26 8 point 47.6606361 -122.3927504
27 8 point 47.5421827 -122.3927785
28 8 point 47.6102581 -121.98202
29 8 point 47.6005537 -122.2895805
30 8 point 47.4294938 -122.2441414
31 8 point 47.6094348 -122.1745387
32 8 point 47.4832261 -122.2708981
35 8 point 47.3970198 -122.3287332
36 8 point 47.5475837 -122.0976229
38 8 point 47.4467555 -122.1621425
40 8 point 47.5623139 -122.149326
41 8 point 47.5922699 -122.2397608
42 8 point 47.4160331 -122.3297274
44 8 point 47.6591774 -122.3386543
47 8 point 47.6339118 -122.1795936
48 8 point 47.5493122 -122.261224
49 8 point 47.6123048 -122.1353054
0 9 point 47.5725028 -122.2058799
1 9 point 47.5941408 -122.32504
2 9 disappearpoint 47.429823 -122.2791434
6 9 point 47.647368 -122.3791642
7 9 point 47.6169968 -122.1460892
10 9 point 47.5358329 -122.3885183
11 9 point 47.5615142 -122.0242145
12 9 point 47.6289524 -122.1397428
14 9 disappearpoint 47.4401597 -122.1252317
15 9 point 47.584291 -122.3540101
17 9 point 47.4630859 -122.2831282
18 9 point 47.5747695 -122.1382427
19 9 point 47.489249 -122.151654
20 9 point 47.692842 -122.0933919
21 9 point 47.5604933 -122.3800263
22 9 point 47.6413028 -122.1141306
23 9 point 47.49154 -122.0493495
24 9 point 47.4796592 -122.1250673
25 9 point 47.5688023 -122.2883902
26 9 point 47.6605232 -122.3928524
27 9 point 47.5422001 -122.3928472
28 9 point 47.6102943 -121.9823204
29 9 point 47.6005246 -122.2895588
30 9 point 47.4295374 -122.2468746
31 9 point 47.6095004 -122.1746102
32 9 point 47.4834319 -122.2707404
35 9 point 47.3970256 -122.3283825
36 9 point 47.5484066 -122.0976183
38 9 point 47.4466278 -122.1628205
40 9 point 47.5622568 -122.1493693
41 9 point 47.5923341 -122.2397903
42 9 point 47.4160293 -122.3286167
44 9 point 47.659172 -122.3386567
47 9 point 47.6342314 -122.1800182
48 9 point 47.5492873 -122.2608606
49 9 point 47.6123018 -122.1370912
0 10 point 47.5723696 -122.2060602
1 10 point 47.5934716 -122.3245994
6 10 point 47.6473429 -122.379176
7 10 point 47.6164618 -122.1460634
10 10 point 47.5369513 -122.3886384
11 10 point 47.5614961 -122.0244184
12 10 point 47.6293979 -122.1397441
15 10 point 47.5843205 -122.3538398
17 10 point 47.4631626 -122.282915
18 10 point 47.5746661 -122.1381293
19 10 point 47.489089 -122.151644
20 10 point 47.6929316 -122.093611
21 10 point 47.5604237 -122.3800177
22 10 point 47.6413552 -122.1137926
23 10 point 47.4913544 -122.0498967
24 10 point 47.4796225 -122.1250287
25 10 point 47.5689359 -122.2884397
26 10 point 47.6594475 -122.3928524
27 10 point 47.5422407 -122.3928987
28 10 point 47.6103008 -121.9825532
29 10 point 47.6004553 -122.289529
30 10 point 47.4287306 -122.2469043
31 10 point 47.6097562 -122.174889
32 10 point 47.483825 -122.2703889
35 10 point 47.3970341 -122.3281151
36 10 point 47.5483815 -122.0969786
38 10 point 47.4464943 -122.1633098
40 10 point 47.5622232 -122.1494981
41 10 point 47.5923586 -122.2398345
42 10 point 47.4172524 -122.3286101
44 10 point 47.6591666 -122.3386581
47 10 point 47.6343117 -122.1800883
48 10 point 47.5492566 -122.2605777
49 10 point 47.6121764 -122.137017
0 11 point 47.571915 -122.206951
1 11 point 47.5933627 -122.324482
6 11 point 47.6473189 -122.3791926
7 11 point 47.6165079 -122.1467424
10 11 point 47.536986 -122.3886384
11 11 point 47.5614708 -122.024633
12 11 point 47.6293979 -122.1394866
15 11 point 47.5845715 -122.3522014
17 11 point 47.4632473 -122.2826736
18 11 point 47.574536 -122.1380385
19 11 point 47.489119 -122.151528
20 11 point 47.6930565 -122.0938111
21 11 point 47.5592444 -122.3800116
22 11 point 47.6414362 -122.1133942
23 11 point 47.4912906 -122.0510039
24 11 point 47.4795543 -122.1250445
25 11 point 47.569034 -122.2884674
26 11 point 47.6594397 -122.3921824
27 11 point 47.5425941 -122.3931304
28 11 point 47.61041 -121.9830285
29 11 point 47.6003627 -122.2894775
30 11 point 47.4287475 -122.2493032
31 11 point 47.6097936 -122.1748928
32 11 point 47.4840731 -122.2701326
35 11 point 47.3970419 -122.3278716
36 11 point 47.5484095 -122.0960899
38 11 point 47.4457803 -122.1660735
40 11 point 47.5622434 -122.1495824
41 11 point 47.5923568 -122.2398721
42 11 point 47.4172642 -122.3297355
44 11 point 47.659163 -122.3386584
47 11 point 47.6354321 -122.180247
48 11 point 47.5491217 -122.2604197
49 11 point 47.6114354 -122.1361181
0 12 point 47.5719956 -122.2070363
1 12 point 47.5932984 -122.3243977
6 12 point 47.6472984 -122.3792095
7 12 point 47.6165364 -122.1471884
10 12 point 47.5370614 -122.3886041
11 12 point 47.5614816 -122.0247724
12 12 point 47.6293393 -122.1394445
15 12 point 47.5847117 -122.3513211
17 12 point 47.4634072 -122.2823254
18 12 point 47.574314 -122.1379477
19 12 point 47.489115 -122.151165
20 12 point 47.6932998 -122.0940893
21 12 point 47.5576745 -122.3800433
22 12 point 47.6414961 -122.1132025
23 12 point 47.4909854 -122.0518252
24 12 point 47.4795234 -122.1251238
25 12 point 47.5691266 -122.2884674
26 12 point 47.6594354 -122.391624
27 12 point 47.5426868 -122.3931991
28 12 point 47.6104606 -121.9832431
29 12 point 47.6001602 -122.2895548
30 12 point 47.4296176 -122.2492871
31 12 point 47.609737 -122.175059
32 12 point 47.4842562 -122.2699268
35 12 point 47.3978104 -122.327879
36 12 point 47.5484158 -122.0947657
38 12 point 47.44567 -122.1667087
40 12 point 47.5623108 -122.1496481
41 12 point 47.5923336 -122.2399217
42 12 point 47.4160331 -122.3297274
44 12 point 47.6591661 -122.339677
47 12 point 47.6367982 -122.1803029
48 12 point 47.5489702 -122.2603776
49 12 point 47.611051 -122.1356948
0 13 point 47.5721251 -122.2071015
1 13 point 47.5932673 -122.3243361
6 13 point 47.6472774 -122.3792371
7 13 point 47.616553 -122.1476498
10 13 point 47.5371367 -122.3885612
11 13 point 47.5615106 -122.0248797
12 13 point 47.6289814 -122.1394608
15 13 point 47.5847645 -122.3508715
17 13 point 47.46358 -122.2820003
18 13 point 47.5736497 -122.1378219
19 13 point 47.48908 -122.151039
20 13 point 47.6934611 -122.0943193
21 13 point 47.5576262 -122.3800692
22 13 point 47.6415919 -122.1132213
23 13 point 47.4909042 -122.0524325
24 13 point 47.4795381 -122.1252028
25 13 point 47.5691266 -122.2895746
26 13 point 47.6594462 -122.3910826
27 13 point 47.5427216 -122.3932849
28 13 point 47.6104968 -121.9834362
29 13 point 47.6000213 -122.2895891
30 13 point 47.430355 -122.2492528
31 13 point 47.6097365 -122.1752509
32 13 point 47.4854797 -122.2685915
35 13 point 47.3978539 -122.3278197
36 13 point 47.5484376 -122.0944372
38 13 point 47.4456584 -122.1672322
40 13 point 47.5623693 -122.1496429
41 13 point 47.5923007 -122.2399324
42 13 point 47.4160409 -122.330855
44 13 point 47.6591691 -122.3406727
47 13 disappearpoint 47.6386121 -122.180257
48 13 point 47.5489155 -122.2604926
49 13 point 47.6108973 -122.1356208
0 14 point 47.5722346 -122.2070864
1 14 point 47.5932463 -122.324276
6 14 point 47.6472291 -122.3793054
7 14 point 47.6162436 -122.147681
10 14 point 47.5372178 -122.3885268
11 14 point 47.5615576 -122.0249602
12 14 point 47.6289656 -122.1394889
15 14 point 47.5846243 -122.3505198
17 14 point 47.4639133 -122.2814687
18 14 point 47.5728864 -122.1378063
19 14 point 47.489047 -122.15116
20 14 point 47.6936055 -122.0946594
21 14 point 47.5575856 -122.3801293
22 14 disappearpoint 47.6419707 -122.1132483
